Revista,Veces_en_top,Cuartil_JCR (pendiente)
Mathematical Problems in Engineering,8,
Materials,6,
Ceramics International,5,
Computers & Industrial Engineering,5,
Expert Systems with Applications,5,
International Journal of Systems Science,5,
Journal of the Franklin Institute,5,
Laser Physics,5,
Journal of Nanotechnology,4,
Materials Research Express,4,
Nanoscale,4,
Optical Engineering,4,
Optics & Laser Technology,4,
Revista Docentes 2 0,4,
Sensors,4,
ACS Applied Nano Materials,3,
Applied Surface Science,3,
Ciencia Latina Revista Científica Multidisciplinar,3,
Computers & Operations Research,3,
European Journal of Operational Research,3,
IEEE Access,3,
J. mechanical behavior of biomedical materials,3,
Journal of Computational and Applied Mathematics,3,
Journal of Materials Science Materials in Electronics,3,
Journal of Photochemistry and Photobiology A Chemistry,3,
Mathematics,3,
Nanoscale Research Letters,3,
Optics Communications,3,
Optics Letters,3,
Physica A Statistical Mechanics and its Applications,3,
Physical Chemistry Chemical Physics,3,
Transactions of the Institute of Measurement and Control,3,
Universe,3,
ACS Omega,2,
Advances in Computational Mathematics,2,
Applied Catalysis B: Environmental,2,
Applied Optics,2,
Applied Soft Computing,2,
Biomechanics and Modeling in Mechanobiology,2,
Computación y Sistemas,2,
Computational and Theoretical Chemistry,2,
Computer,2,
Energy systems,2,
Frontiers in Applied Mathematics and Statistics,2,
IEEE Photonics Technology Letters,2,
IEEE Transactions on Automatic Control,2,
IEEE Transactions on Cybernetics,2,
International Journal of Modern Physics A,2,
Journal of nano research,2,
Journal of Process Control,2,
MRS Communications,2,
New Journal of Chemistry,2,
Open Physics,2,
Particles,2,
Photonic Network Communications,2,
Physical review. D,2,
Physics of Particles and Nuclei,2,
Quality and Reliability Engineering International,2,
Research in Computing Science,2,
Revista Mexicana de Física,2,
Surfaces and Interfaces,2,
The Journal of Chemical Physics,2,
The Journal of Physical Chemistry C,2,
ACS Applied Electronic Materials,1,
Advances in Applied Mathematics,1,
Advances in High Energy Physics,1,
Advances in Space Research,1,
American Journal of Educational Research,1,
Annals of Operations Research,1,
Applied Catalysis A General,1,
Applied Mathematics and Computation,1,
Applied Sciences,1,
Asian Journal of Control,1,
Astronomy and Astrophysics,1,
Atmosphere,1,
Automatica,1,
Beilstein Journal of Nanotechnology,1,
Biomacromolecules,1,
Bioorganic Chemistry,1,
Blood,1,
Boletín de la Sociedad Matemática Mexicana,1,
Bone,1,
British Journal for the History of Mathematics,1,
Cancer Research,1,
Ciencia UANL,1,
Circuits Systems and Signal Processing,1,
Coatings,1,
Computer Methods and Programs in Biomedicine,1,
Computer Networks,1,
Contextos Educativos,1,
Current Opinion in Ophthalmology,1,
Current Topics in Medicinal Chemistry,1,
Cybernetics & Systems,1,
Dilemas contemporáneos Educación Política y Valores,1,
Discrete Mathematics Algorithms and Applications,1,
Drug Metabolism and Personalized Therapy,1,
DYNA,1,
Earth Science Informatics,1,
Educación Química,1,
Electrochem,1,
Electrochimica Acta,1,
Environmental Research,1,
European Journal of Internal Medicine,1,
European Physical Journal A,1,
Eye & Contact Lens,1,
Faraday Discussions,1,
Frontiers in Genetics,1,
Gerencia de riesgos y seguros,1,
Horizontes Revista de Investigación,1,
Horizontes Revista de Investigación en Ciencias de la Educación,1,
IEEE Transactions on Fuzzy Systems,1,
IEEE Transactions on Industrial Electronics,1,
IEEE/CAA Journal of Automatica Sinica,1,
Ingenierias,1,
